"","Country","Code","Indicator","Icode","2015","2016","2017","2018","2019","2020"
"3946","Andorra, Principality of",171,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD","","","","","-464596155.298383","137999529.885325"
"3947","Andorra, Principality of",171,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, US Dollars","BFOLNL_BP6_USD","","","","","K",""
"4018","Andorra, Principality of",171,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD","","","","","2032100364.39043","1727289784.68077"
"4019","Andorra, Principality of",171,"Current Account, Goods and Services, Debit, US Dollars","BMGS_BP6_USD","","","","","K",""
"4080","Andorra, Principality of",171,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD","","","","","73734477.0448611","-84480099.2520462"
"4081","Andorra, Principality of",171,"Financial Account, Other Investment, Loans, Net Acquisition of Financial Assets, US Dollars","BFOLNA_BP6_USD","","","","","K",""
"4206","Andorra, Principality of",171,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD","","","","","538330632.343243","-222479629.13737"
"4207","Andorra, Principality of",171,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD","","","","","K",""
"4214","Andorra, Principality of",171,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD","","","","","1951750.86789353","5084196.11499794"
"4215","Andorra, Principality of",171,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD","","","","","K",""
