"","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
"5142",221480,"Slovak Rep.",936,"Supplementary Items, Portfolio Investment, Net Incurrence of Liabilities (Excluding Exceptional Financing), US Dollars","BFPLXF_BP6_USD",-2633993616.50407,469054113.755135,3104599649.2116,866717224.166695,1981676686.92368,1623283603.07909
"5143",221758,"Slovenia, Rep. of",961,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, Equity Other Than Reinvestment of Earnings, US Dollars","BFDAEO_BP6_USD",270129651.067481,281271026.8761,214922256.689554,373533874.406671,577495713.908764,534790353.322641
"5144",221770,"Slovenia, Rep. of",961,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFDAE_BP6_USD",196617515.185144,299088922.069331,258775043.215034,520995823.245764,750816701.359087,692136437.124887
"5145",221771,"Slovenia, Rep. of",961,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Acquisition of Financial Assets, US Dollars","BFDA_BP6_USD",325794361.507635,477581493.120034,631072850.992611,448900112.633345,1294599892.32093,826857771.327692
"5146",221782,"Slovenia, Rep. of",961,"Financial Account, Other Investment, Loans, US Dollars","BFOLN_BP6_USD",-807103425.104328,-37212677.2745521,1629713863.37829,682888060.087206,686610850.528218,447566555.335712
"5147",221802,"Slovenia, Rep. of",961,"Financial Account, Net Lending (+) / Net Borrowing (-) (Balance from Financial Account), Direct Investment, Net Incurrence of Liabilities, Debt Instruments, US Dollars","BFDLD_BP6_USD",-250091128.014187,-216950496.267087,141447919.697219,257254862.292071,247938043.300484,-188257185.010552
"5148",221895,"Slovenia, Rep. of",961,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Equity and Investment Fund Shares, US Dollars","BFPAE_BP6_USD",191997778.70101,-97055575.0426004,369605423.950727,148063792.528995,-4086116.51093224,526842019.281073
"5149",221935,"Slovenia, Rep. of",961,"Financial Account, Other Investment, Loans, Net Incurrence of Liabilities, Other Sectors, US Dollars","BFOLNLO_BP6_USD",-760460825.078426,-311208301.665958,-889250828.274841,-482176573.004878,-363345245.663876,-357773097.428348
"5150",221943,"Slovenia, Rep. of",961,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, US Dollars","BFPA_BP6_USD",2348917318.43597,2224715093.73698,3200347097.11242,579225967.980421,780676718.206345,1042857061.58161
"5151",221974,"Slovenia, Rep. of",961,"Capital Account, Total, Credit, US Dollars","BK_CD_BP6_USD",1271132789.3384,511953875.210782,994500606.686504,1440725745.46015,1711626990.73391,1524648709.80877
"5152",221975,"Slovenia, Rep. of",961,"Capital Account, Total, Debit, US Dollars","BK_DB_BP6_USD",816058218.816303,851018689.511269,1354661290.31693,1678208785.80777,1959018541.25815,1823672947.14375
"5153",221981,"Slovenia, Rep. of",961,"Financial Account, Portfolio Investment, Net Acquisition of Financial Assets, Debt Securities, US Dollars","BFPAD_BP6_USD",2156920651.38496,2321770668.77958,2830740571.03104,431162175.451426,784760603.911027,516013940.887635
