"X.1","X","Country","Code","Indicator","Icode","X2015","X2016","X2017","X2018","X2019","X2020"
151,751,"Benin",638,"Supplementary_Current_Capital","BTCC_BP6_USD",-553836132,-216597754.5,-334898371.8,-452321202.5,-377104946,-272730082.7
152,753,"Benin",638,"Transport_Services_Credit","BXSTR_BP6_USD",143363705.9,142446338.4,143669439.9,187377574.2,169290711.2,170295957.1
153,754,"Benin",638,"Transport_Services_Debit","BMSTR_BP6_USD",352481016,547205995.5,540393907.8,527225433.8,468344737.4,411823166.6
154,761,"Bermuda",319,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",6547427,10028296,21109089.2,-9706422,10216432,17525253
155,762,"Bermuda",319,"Supplementary_Current_Capital","BTCC_BP6_USD",942896167.1,845986384.6,940200101.7,888947064.5,838701046.1,853849630.4
156,764,"Bermuda",319,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",56972917.58,285003446.2,295443427.8,141002460,25286864,237963938
157,765,"Bermuda",319,"Financial_Loans_Total","BFOLN_BP6_USD",-75183410.49,-202048234.2,-123676770.2,-478394260,-28446879,241207765
158,768,"Bermuda",319,"Transport_Services_Credit","BXSTR_BP6_USD",34829674.7,35133136.67,35386468.5,42446954.56,57136990.12,39600631.02
159,769,"Bermuda",319,"Transport_Services_Debit","BMSTR_BP6_USD",260283918.3,267306123.2,271632308,232161534.4,239930155.3,155832178.1
160,770,"Bermuda",319,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",942896167.1,845986384.6,940200101.7,888947064.5,838701046.1,853849630.4
161,780,"Bermuda",319,"Current_Account_Credit","BXGS_BP6_USD",1259589527,1313493632,1395210435,1585558509,1605054628,1027345720
162,781,"Bermuda",319,"Current_Account_Debit","BMGS_BP6_USD",1828003107,1923976651,2044357675,2197111579,2223822428,1723367797
163,786,"Bhutan",514,"Financial_Loans_Total","BFOLN_BP6_USD",-322105605.8,-663091117.6,-252198256.7,-411071195.5,-287097276.7,-454039722.1
164,790,"Bhutan",514,"Current_Account_Credit","BXGS_BP6_USD",706946117.9,642339520.1,716346961.3,785622133.8,777529115.3,786680733.2
165,793,"Bhutan",514,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-322055733.9,-430983215.8,-354007084.9,-312642228,-376203591.6,-237140220.1
166,796,"Bhutan",514,"Transport_Services_Debit","BMSTR_BP6_USD",62521269.76,51284381.23,57532858.59,53143978.56,54868743.41,57885936.85
167,798,"Bhutan",514,"Transport_Services_Credit","BXSTR_BP6_USD",26264156.28,46934768.01,48058661.84,72223317.34,38311050.2,38203031.11
168,799,"Bhutan",514,"Supplementary_Current_Capital","BTCC_BP6_USD",-322055733.9,-430983215.8,-354007084.9,-312642228,-376203591.6,-237140220.1
169,800,"Bhutan",514,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",322105605.8,663091117.6,252198256.7,411071195.5,287097276.7,454039722.1
170,802,"Bhutan",514,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-4681030.449,189331829.8,-19644711.83,43496627.41,66213739.95,241452262
171,803,"Bhutan",514,"Current_Account_Debit","BMGS_BP6_USD",1203680778,1237308412,1234918507,1248481207,1229725206,1188476133
172,820,"Bolivia",218,"Net_Lending_Borrowing_Balance","BACK_BP6_USD",-1889626003,-1876337230,-1894989774,-1718226970,-1364171310,-14107329.13
173,823,"Bolivia",218,"Transport_Services_Credit","BXSTR_BP6_USD",303620418.8,298558056.1,419227510,445985058.4,452976251.8,141239622.3
174,826,"Bolivia",218,"Financial_Loans_Net_Liabilities","BFOLNL_BP6_USD",671170541.1,609375371.6,1001111508,766668803.2,1083201589,726179182.5
175,827,"Bolivia",218,"Financial_Loans_Total","BFOLN_BP6_USD",-671170541.1,-609375371.6,-1001111508,-766668803.2,-1083201589,-726179182.5
176,828,"Bolivia",218,"Transport_Services_Debit","BMSTR_BP6_USD",770454263.2,717484856.9,801429697.6,765013779.2,755173777,520825148.6
177,835,"Bolivia",218,"Supplementary_Reserve_Assets","BFRAFR_BP6_USD",-1609705961,-3045860544,-232482069.6,-1229306820,-2838758783,-1753802723
178,837,"Bolivia",218,"Supplementary_Current_Capital","BTCC_BP6_USD",-1889626003,-1876337230,-1894989774,-1718226970,-1364171310,-14107329.13
179,840,"Bolivia",218,"Current_Account_Credit","BXGS_BP6_USD",9927413077,8274686876,9588789732,10399006027,10271105039,7442774100
180,842,"Bolivia",218,"Current_Account_Debit","BMGS_BP6_USD",11907150275,10788701065,11762009850,12391416914,11957287652,8077653564
